"last_name, first_name","player_id","year","home_run","k_percent","slg_percent","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","iz_contact_percent","whiff_percent","swing_percent"
"Blackmon, Charlie","453568","2024","12",17.2,".412",".249",".365",".323",".306",".323",".117",67.4,2.4,6.6,5.4,29.3,23.8,"7.1","5","84.8","16.3",34.1,5.2,27.2,"96.083583591","92.106050111",13.3,32.7,67.3,86.4,19.2,48
"Solano, Donovan","456781","2024","8",21,".417",".257",".378",".333",".307",".317",".121",67.1,1.3,8.4,6.5,31.9,24.9,"7","11","87.3","13.7",37,3.7,37.4,"98.057695046","93.167454908",13.6,45.9,54.1,86.4,23.5,47.2
"McCutchen, Andrew","457705","2024","20",25.8,".411",".227",".421",".325",".327",".324",".194",72.7,25.3,14.9,11.1,31.2,23.2,"7.6","11","88.5","14.3",31.9,12,36.9,"99.424962893","93.831123091",22.3,55.2,44.8,77.7,28.9,42
"Turner, Justin","457759","2024","11",17.6,".383",".252",".383",".327",".328",".352",".131",65.1,0.8,5,4.3,32.5,27.9,"6.3","16","87.1","17.8",40.1,4.6,32.5,"96.702342312","92.434680753",11.5,31.3,68.7,88.5,17,45.4
"Santana, Carlos","467793","2024","23",16.7,".420",".246",".415",".326",".330",".336",".169",71.8,19.4,13.6,10.7,36.1,28.3,"7.6","8","89.2","16.1",30.9,7.3,39.9,"99.506124387","94.004167778",16.6,40.3,59.7,83.4,23.3,43.3
"Rojas, Miguel","500743","2024","6",10.1,".410",".283",".365",".327",".314",".339",".081",67.8,4.2,8.4,7.2,37.3,32.1,"7","9","85","9.7",33.2,2.5,27.8,"96.317826471","92.174445609",8.5,27,73,90.8,13.9,46.5
"Pham, Tommy","502054","2024","9",22.2,".368",".263",".407",".297",".319",".320",".144",72.7,22.8,18.5,14.8,37.2,29.7,"6.9","14","90.4","11",32.2,7.2,42.7,"101.105935449","94.883209671",15.9,46.2,53.8,84.1,22.5,40.5
"Martinez, J.D.","502110","2024","16",28.5,".406",".256",".472",".318",".351",".339",".216",73,28.8,14.1,9.8,28.2,19.7,"8.4","30","91","14.4",39.3,14.9,46.1,"101.443240544","95.173257041",18.1,60.1,39.9,81.9,31.5,48.5
"Goldschmidt, Paul","502671","2024","22",26.5,".414",".255",".450",".310",".329",".311",".195",72.5,24.3,18,13.3,33.5,24.8,"7.8","10","91.2","13.1",34.3,10.7,49.6,"101.892583709","95.666428146",22.1,39.7,60.3,77.9,27.4,47.7
"Altuve, Jose","514888","2024","20",17.4,".439",".262",".399",".344",".316",".321",".137",69.4,13.1,9,7.1,33.4,26.3,"7.8","10","86.5","14.1",35.4,6.5,31.2,"97.323672581","92.693762581",12.7,36.3,62.7,86.5,22.1,51.5
